,bus,p_nom,type,control,weather_cell_id,subtype,voltage_level,id,subst_id,la_id,geom,mvlv_subst_id,geom_em,p
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_753032,BranchTee_mvgd_1056_lvgd_97255_24,0.00552,solar,PQ,1130085.0,solar_roof_mounted,lv,753032.0,,,,,,
Generator_mvgd_1056_lvgd_97290_solar_roof_mounted_750043,BranchTee_mvgd_1056_lvgd_97290_14,0.01078,solar,PQ,1130085.0,solar_roof_mounted,lv,750043.0,,,,,,
Generator_mvgd_1056_lvgd_97290_solar_roof_mounted_750299,BranchTee_mvgd_1056_lvgd_97290_30,0.0209,solar,PQ,1130085.0,solar_roof_mounted,lv,750299.0,,,,,,
Generator_mvgd_1056_lvgd_97290_solar_roof_mounted_750307,BranchTee_mvgd_1056_lvgd_97290_2,0.0099,solar,PQ,1130085.0,solar_roof_mounted,lv,750307.0,,,,,,
Generator_mvgd_1056_lvgd_97290_solar_roof_mounted_750310,BranchTee_mvgd_1056_lvgd_97290_34,0.0099,solar,PQ,1130085.0,solar_roof_mounted,lv,750310.0,,,,,,
Generator_mvgd_1056_lvgd_97290_solar_roof_mounted_750315,BranchTee_mvgd_1056_lvgd_97290_46,0.00594,solar,PQ,1130085.0,solar_roof_mounted,lv,750315.0,,,,,,
Generator_mvgd_1056_lvgd_97290_solar_roof_mounted_752199,BranchTee_mvgd_1056_lvgd_97290_52,0.0108,solar,PQ,1130085.0,solar_roof_mounted,lv,752199.0,,,,,,
Generator_mvgd_1056_lvgd_97290_solar_roof_mounted_752452,BranchTee_mvgd_1056_lvgd_97290_22,0.00648,solar,PQ,1130085.0,solar_roof_mounted,lv,752452.0,,,,,,
Generator_mvgd_1056_lvgd_97290_solar_roof_mounted_752474,BranchTee_mvgd_1056_lvgd_97290_44,0.01008,solar,PQ,1130085.0,solar_roof_mounted,lv,752474.0,,,,,,
Generator_mvgd_1056_lvgd_97290_solar_roof_mounted_752973,BranchTee_mvgd_1056_lvgd_97290_56,0.00408,solar,PQ,1130085.0,solar_roof_mounted,lv,752973.0,,,,,,
Generator_mvgd_1056_lvgd_97333_solar_roof_mounted_749977,BranchTee_mvgd_1056_lvgd_97333_18,0.01086,solar,PQ,1131085.0,solar_roof_mounted,lv,749977.0,,,,,,
Generator_mvgd_1056_lvgd_97333_solar_roof_mounted_750008,BranchTee_mvgd_1056_lvgd_97333_24,0.00612,solar,PQ,1131085.0,solar_roof_mounted,lv,750008.0,,,,,,
Generator_mvgd_1056_lvgd_97333_solar_roof_mounted_750142,BranchTee_mvgd_1056_lvgd_97333_12,0.01581,solar,PQ,1131085.0,solar_roof_mounted,lv,750142.0,,,,,,
Generator_mvgd_1056_lvgd_97333_solar_roof_mounted_750269,BranchTee_mvgd_1056_lvgd_97333_2,0.009675,solar,PQ,1131085.0,solar_roof_mounted,lv,750269.0,,,,,,
Generator_mvgd_1056_lvgd_97333_solar_roof_mounted_750276,BranchTee_mvgd_1056_lvgd_97333_14,0.00636,solar,PQ,1131085.0,solar_roof_mounted,lv,750276.0,,,,,,
Generator_mvgd_1056_lvgd_97333_solar_roof_mounted_752442,BranchTee_mvgd_1056_lvgd_97333_6,0.02312,solar,PQ,1131085.0,solar_roof_mounted,lv,752442.0,,,,,,
Generator_mvgd_1056_lvgd_97334_solar_roof_mounted_749999,BranchTee_mvgd_1056_lvgd_97334_16,0.0056,solar,PQ,1131085.0,solar_roof_mounted,lv,749999.0,,,,,,
Generator_mvgd_1056_lvgd_97334_solar_roof_mounted_750115,BranchTee_mvgd_1056_lvgd_97334_32,0.01638,solar,PQ,1131085.0,solar_roof_mounted,lv,750115.0,,,,,,
Generator_mvgd_1056_lvgd_97334_solar_roof_mounted_752230,BranchTee_mvgd_1056_lvgd_97334_14,0.01034,solar,PQ,1131085.0,solar_roof_mounted,lv,752230.0,,,,,,
Generator_mvgd_1056_lvgd_97334_solar_roof_mounted_1601206,BusBar_mvgd_1056_lvgd_97334_LV,0.06318,solar,PQ,1131085.0,solar_roof_mounted,lv,1601206.0,,,,,,
Generator_mvgd_1056_lvgd_97340_solar_roof_mounted_749915,BranchTee_mvgd_1056_lvgd_97340_14,0.0062699999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,749915.0,,,,,,
Generator_mvgd_1056_lvgd_97340_solar_roof_mounted_749935,BranchTee_mvgd_1056_lvgd_97340_30,0.01075,solar,PQ,1131085.0,solar_roof_mounted,lv,749935.0,,,,,,
Generator_mvgd_1056_lvgd_97340_solar_roof_mounted_749942,BranchTee_mvgd_1056_lvgd_97340_2,0.012685,solar,PQ,1131085.0,solar_roof_mounted,lv,749942.0,,,,,,
Generator_mvgd_1056_lvgd_97340_solar_roof_mounted_749971,BranchTee_mvgd_1056_lvgd_97340_34,0.00496,solar,PQ,1131085.0,solar_roof_mounted,lv,749971.0,,,,,,
Generator_mvgd_1056_lvgd_97340_solar_roof_mounted_750141,BranchTee_mvgd_1056_lvgd_97340_46,0.0099,solar,PQ,1131085.0,solar_roof_mounted,lv,750141.0,,,,,,
Generator_mvgd_1056_lvgd_97341_solar_roof_mounted_750026,BranchTee_mvgd_1056_lvgd_97341_10,0.0084,solar,PQ,1131085.0,solar_roof_mounted,lv,750026.0,,,,,,
Generator_mvgd_1056_lvgd_97341_solar_roof_mounted_750202,BranchTee_mvgd_1056_lvgd_97341_32,0.00517,solar,PQ,1131085.0,solar_roof_mounted,lv,750202.0,,,,,,
Generator_mvgd_1056_lvgd_97341_solar_roof_mounted_750225,BranchTee_mvgd_1056_lvgd_97341_28,0.0094,solar,PQ,1131085.0,solar_roof_mounted,lv,750225.0,,,,,,
Generator_mvgd_1056_lvgd_97341_solar_roof_mounted_752166,BranchTee_mvgd_1056_lvgd_97341_22,0.02736,solar,PQ,1131085.0,solar_roof_mounted,lv,752166.0,,,,,,
Generator_mvgd_1056_lvgd_97341_solar_roof_mounted_752202,BranchTee_mvgd_1056_lvgd_97341_2,0.0099,solar,PQ,1131085.0,solar_roof_mounted,lv,752202.0,,,,,,
Generator_mvgd_1056_lvgd_97341_solar_roof_mounted_752212,BranchTee_mvgd_1056_lvgd_97341_14,0.00864,solar,PQ,1131085.0,solar_roof_mounted,lv,752212.0,,,,,,
Generator_mvgd_1056_lvgd_97341_solar_roof_mounted_752436,BranchTee_mvgd_1056_lvgd_97341_34,0.00891,solar,PQ,1131085.0,solar_roof_mounted,lv,752436.0,,,,,,
Generator_mvgd_1056_lvgd_97341_solar_roof_mounted_752955,BranchTee_mvgd_1056_lvgd_97341_24,0.0069299999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,752955.0,,,,,,
Generator_mvgd_1056_lvgd_97341_solar_roof_mounted_753060,BranchTee_mvgd_1056_lvgd_97341_18,0.0081,solar,PQ,1131085.0,solar_roof_mounted,lv,753060.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_749928,BranchTee_mvgd_1056_lvgd_440493_4,0.0132,solar,PQ,1131085.0,solar_roof_mounted,lv,749928.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_749965,BranchTee_mvgd_1056_lvgd_440493_70,0.014835,solar,PQ,1131085.0,solar_roof_mounted,lv,749965.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_749985,BranchTee_mvgd_1056_lvgd_440493_40,0.00533,solar,PQ,1131085.0,solar_roof_mounted,lv,749985.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_750049,BranchTee_mvgd_1056_lvgd_440493_50,0.00154,solar,PQ,1131085.0,solar_roof_mounted,lv,750049.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_750121,Bus_mvgd_1056_lvgd_440493_gen_750121,0.1368,solar,PQ,1131085.0,solar_roof_mounted,lv,750121.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_750152,BusBar_mvgd_1056_lvgd_440493_LV,0.0396,solar,PQ,1131085.0,solar_roof_mounted,lv,750152.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_750270,BranchTee_mvgd_1056_lvgd_440493_60,0.00775,solar,PQ,1131085.0,solar_roof_mounted,lv,750270.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_750279,BranchTee_mvgd_1056_lvgd_440493_62,0.009945,solar,PQ,1131085.0,solar_roof_mounted,lv,750279.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_752163,BranchTee_mvgd_1056_lvgd_440493_2,0.01092,solar,PQ,1131085.0,solar_roof_mounted,lv,752163.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_752190,BranchTee_mvgd_1056_lvgd_440493_28,0.02181,solar,PQ,1131085.0,solar_roof_mounted,lv,752190.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_752444,BranchTee_mvgd_1056_lvgd_440493_72,0.01872,solar,PQ,1131085.0,solar_roof_mounted,lv,752444.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_752456,BranchTee_mvgd_1056_lvgd_440493_58,0.0108,solar,PQ,1131085.0,solar_roof_mounted,lv,752456.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_752470,BranchTee_mvgd_1056_lvgd_440493_76,0.00648,solar,PQ,1131085.0,solar_roof_mounted,lv,752470.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_752545,BranchTee_mvgd_1056_lvgd_440493_14,0.0038,solar,PQ,1131085.0,solar_roof_mounted,lv,752545.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_752977,BranchTee_mvgd_1056_lvgd_440493_22,0.0143,solar,PQ,1131085.0,solar_roof_mounted,lv,752977.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_753036,BranchTee_mvgd_1056_lvgd_440493_44,0.010575,solar,PQ,1131085.0,solar_roof_mounted,lv,753036.0,,,,,,
Generator_mvgd_1056_lvgd_440493_solar_roof_mounted_1589085,BranchTee_mvgd_1056_lvgd_440493_48,0.00936,solar,PQ,1131085.0,solar_roof_mounted,lv,1589085.0,,,,,,
Generator_mvgd_1056_lvgd_97717_solar_roof_mounted_750020,BranchTee_mvgd_1056_lvgd_97717_10,0.02916,solar,PQ,1131085.0,solar_roof_mounted,lv,750020.0,,,,,,
Generator_mvgd_1056_lvgd_97717_solar_roof_mounted_750099,BranchTee_mvgd_1056_lvgd_97717_14,0.003525,solar,PQ,1131085.0,solar_roof_mounted,lv,750099.0,,,,,,
Generator_mvgd_1056_lvgd_97717_solar_roof_mounted_750145,BranchTee_mvgd_1056_lvgd_97717_18,0.00882,solar,PQ,1131085.0,solar_roof_mounted,lv,750145.0,,,,,,
Generator_mvgd_1056_lvgd_97717_solar_roof_mounted_752183,BranchTee_mvgd_1056_lvgd_97717_16,0.02377,solar,PQ,1131085.0,solar_roof_mounted,lv,752183.0,,,,,,
Generator_mvgd_1056_lvgd_97717_solar_roof_mounted_752487,BranchTee_mvgd_1056_lvgd_97717_12,0.0116999999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,752487.0,,,,,,
Generator_mvgd_1056_lvgd_97717_solar_roof_mounted_753002,BranchTee_mvgd_1056_lvgd_97717_18,0.01764,solar,PQ,1131085.0,solar_roof_mounted,lv,753002.0,,,,,,
Generator_mvgd_1056_lvgd_97718_solar_roof_mounted_750126,BranchTee_mvgd_1056_lvgd_97718_48,0.00836,solar,PQ,1131085.0,solar_roof_mounted,lv,750126.0,,,,,,
Generator_mvgd_1056_lvgd_97718_solar_roof_mounted_750162,BusBar_mvgd_1056_lvgd_97718_LV,0.05593,solar,PQ,1131085.0,solar_roof_mounted,lv,750162.0,,,,,,
Generator_mvgd_1056_lvgd_97718_solar_roof_mounted_750229,BusBar_mvgd_1056_lvgd_97718_LV,0.04002,solar,PQ,1131085.0,solar_roof_mounted,lv,750229.0,,,,,,
Generator_mvgd_1056_lvgd_97718_solar_roof_mounted_750255,BusBar_mvgd_1056_lvgd_97718_LV,0.07056,solar,PQ,1131085.0,solar_roof_mounted,lv,750255.0,,,,,,
Generator_mvgd_1056_lvgd_97718_solar_roof_mounted_752259,BranchTee_mvgd_1056_lvgd_97718_4,0.0195,solar,PQ,1131085.0,solar_roof_mounted,lv,752259.0,,,,,,
Generator_mvgd_1056_lvgd_97718_solar_roof_mounted_752519,BusBar_mvgd_1056_lvgd_97718_LV,0.064265,solar,PQ,1131085.0,solar_roof_mounted,lv,752519.0,,,,,,
