,bus0,bus1,length,x,r,b,s_nom,num_parallel,type_info,kind
Branch_LVCableDist_mvgd_1056_lvgd_109034_75_LVStation_mvgd_1056_lvgd_109034,BusBar_mvgd_1056_lvgd_109034_LV,BranchTee_mvgd_1056_lvgd_109034_75,0.029,0.002332318386025,0.005974,0.0,0.1905255888325765,1.0,NAYY 4x1x150,cable
Branch_LVCableDist_mvgd_1056_lvgd_109034_77_LVCableDist_mvgd_1056_lvgd_109034_78,BranchTee_mvgd_1056_lvgd_109034_77,BranchTee_mvgd_1056_lvgd_109034_78,0.031,0.0026295130510546,0.013919,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109034_77_LVCableDist_mvgd_1056_lvgd_109034_79,BranchTee_mvgd_1056_lvgd_109034_77,BranchTee_mvgd_1056_lvgd_109034_79,0.029,0.002332318386025,0.005974,0.0,0.1905255888325765,1.0,NAYY 4x1x150,cable
Branch_LVCableDist_mvgd_1056_lvgd_109034_79_LVCableDist_mvgd_1056_lvgd_109034_80,BranchTee_mvgd_1056_lvgd_109034_79,BranchTee_mvgd_1056_lvgd_109034_80,0.015,0.0012723450247038,0.006735,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109034_79_LVCableDist_mvgd_1056_lvgd_109034_81,BranchTee_mvgd_1056_lvgd_109034_79,BranchTee_mvgd_1056_lvgd_109034_81,0.029,0.002332318386025,0.005974,0.0,0.1905255888325765,1.0,NAYY 4x1x150,cable
Branch_LVCableDist_mvgd_1056_lvgd_109034_7_LVCableDist_mvgd_1056_lvgd_109034_8,BranchTee_mvgd_1056_lvgd_109034_7,BranchTee_mvgd_1056_lvgd_109034_8,0.015,0.0012723450247038,0.006735,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109034_7_LVCableDist_mvgd_1056_lvgd_109034_9,BranchTee_mvgd_1056_lvgd_109034_7,BranchTee_mvgd_1056_lvgd_109034_9,0.064,0.0051471854036415,0.013184,0.0,0.1905255888325765,1.0,NAYY 4x1x150,cable
Branch_LVCableDist_mvgd_1056_lvgd_109034_81_LVCableDist_mvgd_1056_lvgd_109034_82,BranchTee_mvgd_1056_lvgd_109034_81,BranchTee_mvgd_1056_lvgd_109034_82,0.031,0.0026295130510546,0.013919,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109034_81_LVCableDist_mvgd_1056_lvgd_109034_83,BranchTee_mvgd_1056_lvgd_109034_81,BranchTee_mvgd_1056_lvgd_109034_83,0.029,0.002332318386025,0.005974,0.0,0.1905255888325765,1.0,NAYY 4x1x150,cable
Branch_LVCableDist_mvgd_1056_lvgd_109034_83_LVCableDist_mvgd_1056_lvgd_109034_84,BranchTee_mvgd_1056_lvgd_109034_83,BranchTee_mvgd_1056_lvgd_109034_84,0.015,0.0012723450247038,0.006735,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
