,bus,p_set,type,annual_consumption,sector,voltage_level,p,geom
Load_mvgd_1056_lvgd_97254_12,BranchTee_mvgd_1056_lvgd_97254_24,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_13,BranchTee_mvgd_1056_lvgd_97254_26,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_14,BranchTee_mvgd_1056_lvgd_97254_28,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_15,BranchTee_mvgd_1056_lvgd_97254_30,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_16,BranchTee_mvgd_1056_lvgd_97254_32,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_17,BranchTee_mvgd_1056_lvgd_97254_34,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_18,BranchTee_mvgd_1056_lvgd_97254_36,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_19,BranchTee_mvgd_1056_lvgd_97254_38,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_20,BranchTee_mvgd_1056_lvgd_97254_40,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_21,BranchTee_mvgd_1056_lvgd_97254_42,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_22,BranchTee_mvgd_1056_lvgd_97254_44,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_23,BranchTee_mvgd_1056_lvgd_97254_46,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_24,BranchTee_mvgd_1056_lvgd_97254_48,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_25,BranchTee_mvgd_1056_lvgd_97254_50,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_26,BranchTee_mvgd_1056_lvgd_97254_52,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_27,BranchTee_mvgd_1056_lvgd_97254_54,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_28,BranchTee_mvgd_1056_lvgd_97254_56,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_29,BranchTee_mvgd_1056_lvgd_97254_58,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97255_1,BranchTee_mvgd_1056_lvgd_97255_2,0.0321746909226118,conventional_load,133.860421545231,agricultural,lv,,
Load_mvgd_1056_lvgd_97255_2,BranchTee_mvgd_1056_lvgd_97255_4,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_3,BranchTee_mvgd_1056_lvgd_97255_6,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_4,BranchTee_mvgd_1056_lvgd_97255_8,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_5,BranchTee_mvgd_1056_lvgd_97255_10,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_6,BranchTee_mvgd_1056_lvgd_97255_12,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_7,BranchTee_mvgd_1056_lvgd_97255_14,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_8,BranchTee_mvgd_1056_lvgd_97255_16,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_9,BranchTee_mvgd_1056_lvgd_97255_18,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_10,BranchTee_mvgd_1056_lvgd_97255_20,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_11,BranchTee_mvgd_1056_lvgd_97255_22,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_12,BranchTee_mvgd_1056_lvgd_97255_24,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_13,BranchTee_mvgd_1056_lvgd_97255_26,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_14,BranchTee_mvgd_1056_lvgd_97255_28,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_15,BranchTee_mvgd_1056_lvgd_97255_30,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_16,BranchTee_mvgd_1056_lvgd_97255_32,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_17,BranchTee_mvgd_1056_lvgd_97255_34,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_18,BranchTee_mvgd_1056_lvgd_97255_36,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_19,BranchTee_mvgd_1056_lvgd_97255_38,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_20,BranchTee_mvgd_1056_lvgd_97255_40,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_21,BranchTee_mvgd_1056_lvgd_97255_42,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_22,BranchTee_mvgd_1056_lvgd_97255_44,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
Load_mvgd_1056_lvgd_97255_23,BranchTee_mvgd_1056_lvgd_97255_46,0.0012819570815039,conventional_load,5.998301897360842,residential,lv,,
