,dsm_load_1,dsm_load_43,dsm_load_53,dsm_load_55,dsm_load_76,dsm_load_77,dsm_load_88,dsm_load_109,dsm_load_113,dsm_load_115,dsm_load_121,dsm_load_122,dsm_load_124,dsm_load_127,dsm_load_0,dsm_load_5
2011-07-18 04:00:00,-0.0035168852747838,-0.0033869265690515,-0.0014043832679252,-0.0024099386054357,-0.0028657905469907,-0.0038997663449859,-0.0031058476333386,-0.0029149610106509,-0.0020218219050354,-0.0034409510578605,-0.0022836414130508,-0.0045164820337619,-0.0003727646547388,-0.0035000988331814,-0.069755365792461,-0.0101369989015003
2011-07-18 05:00:00,-0.0036139126685343,-0.0034771224810747,-0.0014523018564143,-0.0024921674805265,-0.0030002998080348,-0.0040851417622579,-0.003245596152532,-0.003046120530639,-0.002112794370738,-0.0035583588350098,-0.0023921943217112,-0.0047197024588099,-0.0003854836585191,-0.0036664760528138,-0.0725234078258364,-0.0105805709775857
2011-07-18 06:00:00,-0.0037817071353492,-0.0036402161870644,-0.0015410388406502,-0.002644441214431,-0.0032116725509755,-0.0043683138274425,-0.0034861974732925,-0.0032719343991622,-0.0022694192532571,-0.0037757778450132,-0.0025580153986344,-0.0050695816772397,-0.0004090370659447,-0.003920627231952,-0.0766095140520119,-0.011271844001429
2011-07-18 07:00:00,-0.0046174706162752,-0.0045303889321098,-0.0019562478291161,-0.0033569448403865,-0.0040441408788656,-0.005462031807935,-0.0044893398568206,-0.0042134232554499,-0.0029224375221238,-0.0047931025602284,-0.0031984793273676,-0.0065283378969192,-0.0005192457523944,-0.0049022555370103,-0.0930970472497687,-0.0140825446867404
2011-07-18 08:00:00,-0.007295148021617,-0.0074112704992682,-0.0032901797649827,-0.005645988111329,-0.0068152001704766,-0.0092031351380375,-0.0075693222812807,-0.0071041087431794,-0.0049274218832541,-0.0080614372169173,-0.0053892101915665,-0.0110072070903261,-0.0008733105499999,-0.0082599519326774,-0.1502382870079197,-0.0236079655646218
2011-07-18 09:00:00,-0.0114884265738655,-0.0118542714826819,-0.0053465456243366,-0.0091747366976591,-0.0112148438199458,-0.0151793614080683,-0.0123654037325522,-0.0116054211334894,-0.008049539797999,-0.0130998440683071,-0.0088887936529069,-0.0179816045059009,-0.001419130574409,-0.0136237047178814,-0.2424969236889247,-0.0387383277854764
2011-07-18 10:00:00,-0.0144494440737799,-0.014860785691537,-0.0067025849378655,-0.0115017164949831,-0.0142220238390074,-0.0191979324081912,-0.0158144645154418,-0.0148425012779139,-0.0102947840810062,-0.0164223451383185,-0.0112420051905584,-0.0229971825053048,-0.0017790633207359,-0.0172304325123995,-0.3062407594283522,-0.0489226137522622
2011-07-18 11:00:00,-0.0147340707126475,-0.0150961584854962,-0.0068053260001338,-0.011678021395489,-0.0145441751429556,-0.0195499869440381,-0.0163864433292251,-0.0153793260478091,-0.0106671266526475,-0.0166740762540131,-0.0114481627514457,-0.0238289464361605,-0.0018063338226556,-0.0175464067429373,-0.3119433253913227,-0.0497996747196848
2011-07-18 12:00:00,-0.0149704302523929,-0.0153221209945783,-0.006921891683602,-0.0118780495125101,-0.0147981152360135,-0.0198699547090801,-0.0167277207720175,-0.0156996284441263,-0.0108892889384356,-0.0169596797790627,-0.0116355308074911,-0.0243252275229577,-0.0018372737859439,-0.0178335826150301,-0.3171150385333798,-0.0506033114522474
2011-07-18 13:00:00,-0.0142455435119539,-0.0145497044952329,-0.006570112665053,-0.0112743924790311,-0.0140025436117452,-0.0188045962801059,-0.0158209662035354,-0.0148486033696884,-0.0102990165022191,-0.0160977680675986,-0.0110116737830116,-0.0230066371730575,-0.0017439012804544,-0.0168774074331587,-0.3014502555462545,-0.0479166917095894
2011-07-18 14:00:00,-0.012391783304161,-0.0125987156313125,-0.0056564317632536,-0.009706505045034,-0.012035832268996,-0.0161571019884185,-0.0136151542457593,-0.0127783614863694,-0.0088630932177833,-0.0138591118991595,-0.0094613430527906,-0.0197989749650941,-0.0015013834766046,-0.0145012415654,-0.2611540591543428,-0.0412232204438571
2011-07-18 15:00:00,-0.0117598131436925,-0.0119695570646647,-0.0053792116078763,-0.0092307919189187,-0.0114749986680254,-0.0153853994546366,-0.0130293355941007,-0.012228547480503,-0.0084817412900236,-0.0131798806603004,-0.0090094462700599,-0.0189470853273483,-0.0014278010879034,-0.0138086269574694,-0.2473782946020035,-0.0392394737143867
2011-07-18 16:00:00,-0.0122132052449606,-0.0124132670834875,-0.0055803579423339,-0.0095759614519249,-0.0119510625446339,-0.0160087804743612,-0.0136083817403978,-0.0127720052218634,-0.0088586845019323,-0.0136727195513242,-0.0093744883230494,-0.0197891264784974,-0.0014811912454399,-0.0143681207801112,-0.256797848856401,-0.0408070483566019
2011-07-18 17:00:00,-0.0111394021518648,-0.011201089996997,-0.0050375656004691,-0.0086445232546246,-0.0107988874616577,-0.0144471155498655,-0.0123436518283404,-0.0115850061099049,-0.008035379902987,-0.012342796356143,-0.0084600020745405,-0.0179499731781056,-0.0013371181818174,-0.0129665030685588,-0.2334052668509336,-0.0368256199437685
2011-07-18 18:00:00,-0.0098492605121557,-0.0097952509290609,-0.004428524861185,-0.0075994020093022,-0.0094657080826926,-0.0126192717183876,-0.0109340420580233,-0.0102620315130185,-0.0071177624768818,-0.0108505545842683,-0.0073896456734399,-0.0159001375281164,-0.0011754608436204,-0.0113259857924355,-0.2046715266265397,-0.0321725771436544
2011-07-18 19:00:00,-0.0086468293001867,-0.0085739023276547,-0.0039392482774426,-0.0067597974976091,-0.008266389285873,-0.0109612988173445,-0.0097012212088415,-0.0091049803203237,-0.0063152298055734,-0.009651753076969,-0.0064187629990442,-0.0141073859596206,-0.0010455924373413,-0.0098379302262735,-0.1765852369086625,-0.0279810819927228
2011-07-18 20:00:00,-0.0075659169115426,-0.0075826167304132,-0.0035392078402247,-0.0060733232883207,-0.0071999496856157,-0.0094928985426612,-0.0085898220850114,-0.0080618882257661,-0.0055917393581746,-0.0086715936026501,-0.0055588910524817,-0.0124912042380075,-0.0009394099308512,-0.0085200189379035,-0.1506325377564211,-0.0243177391824036
