,edisgo_id
1011,Charging_Point_LVGrid_109684_home_1
1012,Charging_Point_LVGrid_98279_home_9
1014,Charging_Point_LVGrid_97768_home_1
1015,Charging_Point_LVGrid_97768_home_2
1027,Charging_Point_LVGrid_98280_home_6
1028,Charging_Point_LVGrid_98279_home_10
1031,Charging_Point_LVGrid_98280_home_7
1036,Charging_Point_LVGrid_98278_home_3
1038,Charging_Point_LVGrid_98278_home_4
1042,Charging_Point_LVGrid_440438_home_5
1047,Charging_Point_LVGrid_98278_home_5
1049,Charging_Point_LVGrid_98278_home_6
1053,Charging_Point_LVGrid_98278_home_7
1054,Charging_Point_LVGrid_98278_home_8
1055,Charging_Point_LVGrid_98280_home_8
1057,Charging_Point_LVGrid_109131_home_1
1058,Charging_Point_LVGrid_109131_home_2
1060,Charging_Point_LVGrid_440438_home_6
1065,Charging_Point_LVGrid_98278_home_9
1067,Charging_Point_LVGrid_109684_home_2
1070,Charging_Point_LVGrid_109130_home_3
1071,Charging_Point_LVGrid_97906_home_1
1075,Charging_Point_LVGrid_98277_home_2
1076,Charging_Point_LVGrid_98278_home_10
1077,Charging_Point_LVGrid_98278_home_11
1078,Charging_Point_LVGrid_98280_home_9
1082,Charging_Point_LVGrid_440542_home_1
1083,Charging_Point_LVGrid_440438_home_7
1086,Charging_Point_LVGrid_97905_home_3
1089,Charging_Point_LVGrid_98279_home_11
1090,Charging_Point_LVGrid_109684_home_3
1093,Charging_Point_LVGrid_109130_home_4
1095,Charging_Point_LVGrid_97906_home_2
1096,Charging_Point_LVGrid_98279_home_12
1098,Charging_Point_LVGrid_98277_home_3
1102,Charging_Point_LVGrid_97906_home_3
1106,Charging_Point_LVGrid_98279_home_13
1108,Charging_Point_LVGrid_109130_home_5
1111,Charging_Point_LVGrid_109131_home_3
1112,Charging_Point_LVGrid_98278_home_12
1113,Charging_Point_LVGrid_97906_home_4
1115,Charging_Point_LVGrid_98276_home_2
1119,Charging_Point_LVGrid_109131_home_4
1120,Charging_Point_LVGrid_98278_home_13
1122,Charging_Point_LVGrid_97768_home_3
1129,Charging_Point_LVGrid_440438_home_8
1130,Charging_Point_LVGrid_102177_home_1
1131,Charging_Point_LVGrid_102177_home_2
1132,Charging_Point_LVGrid_102578_home_1
1139,Charging_Point_LVGrid_102177_home_3
1141,Charging_Point_LVGrid_102576_home_1
1142,Charging_Point_LVGrid_440493_home_1
1144,Charging_Point_LVGrid_102576_home_2
1147,Charging_Point_LVGrid_102178_home_1
1149,Charging_Point_LVGrid_440493_home_2
1152,Charging_Point_LVGrid_102178_home_2
1154,Charging_Point_LVGrid_440493_home_3
1156,Charging_Point_LVGrid_102577_home_1
1157,Charging_Point_LVGrid_102577_home_2
1161,Charging_Point_LVGrid_102577_home_3
1166,Charging_Point_LVGrid_102577_home_4
1169,Charging_Point_LVGrid_102577_home_5
1172,Charging_Point_LVGrid_102578_home_2
1175,Charging_Point_LVGrid_102177_home_4
1177,Charging_Point_LVGrid_102578_home_3
1179,Charging_Point_LVGrid_102576_home_3
1182,Charging_Point_LVGrid_102177_home_5
1183,Charging_Point_LVGrid_97976_home_1
1185,Charging_Point_LVGrid_97239_home_1
1187,Charging_Point_LVGrid_102177_home_6
1190,Charging_Point_LVGrid_102178_home_3
1195,Charging_Point_LVGrid_102177_home_7
1197,Charging_Point_LVGrid_102579_home_1
1201,Charging_Point_LVGrid_102178_home_4
1202,Charging_Point_LVGrid_97976_home_2
1206,Charging_Point_LVGrid_102178_home_5
1207,Charging_Point_LVGrid_102577_home_6
1210,Charging_Point_LVGrid_102176_home_1
1217,Charging_Point_LVGrid_102178_home_6
1218,Charging_Point_LVGrid_102577_home_7
1223,Charging_Point_LVGrid_102576_home_4
1227,Charging_Point_LVGrid_102579_home_2
1228,Charging_Point_LVGrid_102576_home_5
1230,Charging_Point_LVGrid_102176_home_2
1231,Charging_Point_LVGrid_102579_home_3
1239,Charging_Point_LVGrid_440493_home_4
1242,Charging_Point_LVGrid_97976_home_3
1244,Charging_Point_LVGrid_102773_home_1
1251,Charging_Point_LVGrid_102659_home_1
1253,Charging_Point_LVGrid_102177_home_8
1254,Charging_Point_LVGrid_440493_home_5
1255,Charging_Point_LVGrid_440493_home_6
1257,Charging_Point_LVGrid_102178_home_7
1261,Charging_Point_LVGrid_102178_home_8
1263,Charging_Point_LVGrid_102578_home_4
1267,Charging_Point_LVGrid_102659_home_2
1269,Charging_Point_LVGrid_102177_home_9
1275,Charging_Point_LVGrid_102577_home_8
1277,Charging_Point_LVGrid_102576_home_6
1278,Charging_Point_LVGrid_440892_home_1
1279,Charging_Point_LVGrid_97239_home_2
1281,Charging_Point_LVGrid_102177_home_10
1282,Charging_Point_LVGrid_102178_home_9
1286,Charging_Point_LVGrid_440493_home_7
1287,Charging_Point_LVGrid_440493_home_8
1289,Charging_Point_LVGrid_102178_home_10
1291,Charging_Point_LVGrid_102176_home_3
1292,Charging_Point_LVGrid_102579_home_4
1293,Charging_Point_LVGrid_102178_home_11
1294,Charging_Point_LVGrid_102577_home_9
1299,Charging_Point_LVGrid_102659_home_3
1300,Charging_Point_LVGrid_441037_home_1
